"location","latitude","longitude"
"Switzerland+Zurich",47.3667,8.55
"Syria+Damascus",33.5131,36.29986
"Taiwan+Taipei",25.04837,121.50928
"Tajikistan+Dusanbe",38.6582,70.18674
"Tanzania+Dar Es Salaam",-6.80485,39.24343
"Thailand+Bangkok",13.74131,100.50814
"The Netherlands+Amsterdam",52.36054,4.89668
"Togo+Lome",45.91687,14.08531
"Tunisia+Tunis",36.81805,10.21274
"Turkey+Ankara",39.93637,32.84687
"Turkey+Istanbul",41.02957,28.99184
"Turkmenistan+Ashabad",39.06647,59.6027
"Uganda+Kampala",0.32399,32.58662
"Ukraine+Kiev",50.44839,30.52582
"United Arab Emirates+Abu Dhabi",23.99764,53.64391
"United Arab Emirates+Dubai",25.07501,55.18876
"United Kingdom+Belfast",54.58464,-5.93429
"United Kingdom+London",51.51763,-0.11348
"Uruguay+Montvideo",-32.50733,-53.50241
"US+Abilene",32.43311,-99.74825
"US+Akron Canton",40.8634,-81.5395
"US+Albany",31.56241,-84.15894
"US+Albuquerque",35.11459,-106.6207
"US+Allentown",40.59696,-75.49114
"US+Amarillo",35.18422,-101.86238
"US+Anchorage",61.18604,-149.80382
"US+Asheville",35.62001,-82.56558
"US+Atlanta",33.77729,-84.39015
"US+Atlantic City",39.36276,-74.43936
"US+Austin",30.30087,-97.78262
"US+Baltimore",39.3221,-76.61444
"US+Baton Rouge",30.44482,-91.07649
"US+Billings",45.78996,-108.53766
"US+Birmingham",33.47626,-86.76679
"US+Bismarck",46.8223,-100.76329
"US+Boise",43.60847,-116.25097
"US+Boston",42.33106,-71.0902
"US+Bridgeport",41.18944,-73.21601
"US+Brownsville",25.937,-97.47524
"US+Buffalo",42.91023,-78.8375
"US+Burlington",36.12708,-79.43127
"US+Caribou",46.86925,-68.00983
"US+Casper",42.84425,-106.33708
"US+Charleston",32.79813,-79.98343
"US+Charlotte",35.19317,-80.80483
"US+Chattanooga",35.05639,-85.24637
"US+Cheyenne",41.15062,-104.79762
"US+Chicago",41.85013,-87.68808
"US+Cincinnati",39.16835,-84.48804
"US+Cleveland",40.4437,-95.06044
"US+Colorado Springs",38.87574,-104.76897
"US+Columbia",38.95075,-92.32894
"US+Columbus",48.36262,-114.18697
"US+Concord",37.95364,-122.00934
"US+Corpus Christi",27.73462,-97.4073
"US+Dallas Ft Worth",35.32174,-81.17802
"US+Dayton",39.74292,-84.18875
"US+Daytona Beach",29.20502,-81.04515
"US+Denver",39.73034,-104.98958
"US+Des Moines",41.595,-93.61988
"US+Detroit",42.38891,-83.10508
"US+Duluth",46.80086,-92.12027
"US+El Paso",31.85152,-106.626
"US+Elkins",35.9724,-93.95585
"US+Erie",42.09995,-80.07811
"US+Eugene",44.06126,-123.10616
"US+Evansville",39.25455,-82.01741
"US+Fairbanks",64.86199,-147.72915
"US+Fargo",46.8505,-96.82363
"US+Flagstaff",35.21502,-111.60999
"US+Flint",43.02837,-83.70058
"US+Fort Smith",35.32417,-94.38772
"US+Fort Wayne",41.09285,-85.1428
"US+Fresno",36.78825,-119.76972
"US+Goodland",39.34974,-101.725
"US+Grand Junction",39.07939,-108.54938
"US+Grand Rapids",42.93006,-85.66189
"US+Great Falls",34.56965,-80.91214
"US+Green Bay",44.51703,-88.02568
